1_Summit_PBK_PBK_Q1,06/29/2012,2.75811801061465
1_Summit_PBK_PBK_Universe,06/29/2012,3.78588733621703
1_Summit_PBK_PBK_Q3,06/29/2012,4.03094688229274
1_Summit_PBK_PBK_NA,06/29/2012,NA
1_Summit_PBK_PBK_Q4,06/29/2012,5.40981454927903
1_Summit_PBK_PBK_Q2,06/29/2012,4.48302376837982
1_Summit_PBK_PBK_Q1,07/31/2012,0.616696405290113
1_Summit_PBK_PBK_Universe,07/31/2012,0.895135224003264
1_Summit_PBK_PBK_Q3,07/31/2012,0.327641196024299
1_Summit_PBK_PBK_NA,07/31/2012,NA
1_Summit_PBK_PBK_Q4,07/31/2012,-1.08615684380045
1_Summit_PBK_PBK_Q2,07/31/2012,1.93318534904007
1_Summit_PBK_PBK_Q1,08/31/2012,2.57821416323952
1_Summit_PBK_PBK_Universe,08/31/2012,2.51499249751332
1_Summit_PBK_PBK_Q3,08/31/2012,1.40879668005546
1_Summit_PBK_PBK_NA,08/31/2012,NA
1_Summit_PBK_PBK_Q4,08/31/2012,5.79562874776953
1_Summit_PBK_PBK_Q2,08/31/2012,2.16352120489515
1_Summit_PBK_PBK_Q1,09/28/2012,2.41001655262681
1_Summit_PBK_PBK_Universe,09/28/2012,2.80142950327863
1_Summit_PBK_PBK_Q3,09/28/2012,2.97986288135912
1_Summit_PBK_PBK_NA,09/28/2012,NA
1_Summit_PBK_PBK_Q4,09/28/2012,4.95860608039342
1_Summit_PBK_PBK_Q2,09/28/2012,2.67543315558354
1_Summit_PBK_PBK_Q1,10/31/2012,-3.06095612110857
1_Summit_PBK_PBK_Universe,10/31/2012,-1.64786284672291
1_Summit_PBK_PBK_Q3,10/31/2012,-0.413251527030313
1_Summit_PBK_PBK_NA,10/31/2012,NA
1_Summit_PBK_PBK_Q4,10/31/2012,2.11897222153774
1_Summit_PBK_PBK_Q2,10/31/2012,-1.35771167105194
1_Summit_MMT_MMT_9M_Q1,01/31/2012,1.61101835114931
1_Summit_MMT_MMT_9M_QNA,01/31/2012,9.99833289727487
1_Summit_MMT_MMT_9M_Universe,01/31/2012,4.98963890059287
1_Summit_MMT_MMT_9M_Q3,01/31/2012,9.1043627096338
1_Summit_MMT_MMT_9M_NA,01/31/2012,NA
1_Summit_MMT_MMT_9M_Q4,01/31/2012,12.7012287802108
1_Summit_MMT_MMT_9M_Q2,01/31/2012,3.8695702279689
1_Summit_MMT_MMT_9M_Q1,02/29/2012,4.42608239575061
1_Summit_MMT_MMT_9M_QNA,02/29/2012,8.39912405050181
1_Summit_MMT_MMT_9M_Universe,02/29/2012,4.42287368296513
1_Summit_MMT_MMT_9M_Q3,02/29/2012,4.51343163626446
1_Summit_MMT_MMT_9M_NA,02/29/2012,NA
1_Summit_MMT_MMT_9M_Q4,02/29/2012,5.671565297841
1_Summit_MMT_MMT_9M_Q2,02/29/2012,3.81670794429392
1_Summit_MMT_MMT_9M_Q1,03/30/2012,4.07513062433248
1_Summit_MMT_MMT_9M_QNA,03/30/2012,3.03600902319852
1_Summit_MMT_MMT_9M_Universe,03/30/2012,2.98943050072335
1_Summit_MMT_MMT_9M_Q3,03/30/2012,1.76082657650534
1_Summit_MMT_MMT_9M_NA,03/30/2012,NA
1_Summit_MMT_MMT_9M_Q4,03/30/2012,2.21681184620448
1_Summit_MMT_MMT_9M_Q2,03/30/2012,2.79483615189928
1_Summit_MMT_MMT_9M_Q1,04/30/2012,-0.218133176348046
1_Summit_MMT_MMT_9M_QNA,04/30/2012,-4.72605323010791
1_Summit_MMT_MMT_9M_Universe,04/30/2012,-0.721081569680971
1_Summit_MMT_MMT_9M_Q3,04/30/2012,-1.34431076005814
1_Summit_MMT_MMT_9M_NA,04/30/2012,NA
